Model,Price
G.SKILL Ripjaws V Series Model F4-3600C18D-32GVK,67.99 $
G.SKILL Trident Z5 RGB Series Model F5-6000J3636F16GX2-TZ5RK,109.99 $
Neo Forza BLACK ENCKE DDR4 32GB (2x16GB) DRAM 3200MHz (PC4-25600) SDRAM Desktop Single-Ranked Memory Model NMUD416F82-3200DK20,59.99 $
Neo Forza TRINITY JETBLACK DDR5 5600 32GB (2 x 16GB) 288-Pin PC RAM Desktop Memory Model NMUD516F82-5600EI20,88.49 $
G.SKILL Trident Z5 RGB Series Model F5-6000J3040G32GX2-TZ5RK,239.99 $
G.SKILL Ripjaws S5 Series Model F5-6000J3040G32GX2-RS5K,199.99 $
G.SKILL Ripjaws S5 Series Model F5-6400J3239G16GX2-RS5K,109.99 $
Neo Forza TRINITY RGB DDR5 6000 32GB (2 x 16GB) 288-Pin PC RAM Desktop Memory Model NMGD516F82-6000LI20,109.49 $
G.SKILL Trident Z5 RGB Series Model F5-6000J3040G32GX2-TZ5RS,239.99 $
Neo Forza TRINITY JETBLACK DDR5 6000 32GB (2 x 16GB) 288-Pin PC RAM Desktop Memory Model NMUD516F82-6000LI20,89.99 $
G.SKILL Trident Z5 RGB Series Model F5-6400J3239G16GX2-TZ5RK,129.99 $
G.SKILL Trident Z5 Neo RGB Series,129.99 $
G.SKILL Ripjaws V Series Model F4-3200C16D-16GVKB,41.99 $
CORSAIR Vengeance RGB Pro SL Model CMH32GX4M2E3200C16,79.99 $
G.SKILL Trident Z5 Neo Series Model F5-6000J3040G32GX2-TZ5N,227.99 $
G.SKILL Ripjaws V Series Model F4-3600C18D-64GVK,134.99 $
G.SKILL Trident Z RGB (For AMD) Model F4-3600C18D-16GTZRX,59.99 $
Kingston FURY Beast Model RFBB14-32C16K2/32,74.99 $
G.SKILL Flare X5 Model F5-6000J3038F16GX2-FX5,114.99 $
G.SKILL Trident Z5 Neo RGB Series Model F5-6000J3040G32GX2-TZ5NR,229.99 $
OLOy Blade RGB Model ND4U1632161BRKDE,59.99 $
G.SKILL Trident Z5 RGB Series Model F5-7200J3445G16GX2-TZ5RK,165.99 $
G.SKILL Trident Z5 RGB Series Model F5-7800J3646H16GX2-TZ5RK,249.99 $
G.SKILL Ripjaws S5 Series Model F5-6400J3239G32GX2-RS5K,224.99 $
G.SKILL Trident Z5 Neo RGB Series Model F5-6000J3636F16GX2-TZ5NR,114.99 $
G.SKILL Trident Z5 RGB Series Model F5-6800J3445G16GX2-TZ5RK,145.99 $
Team T-FORCE VULCAN Z Model TLZGD416G3200HC16FDC01,34.99 $
G.SKILL TridentZ RGB Series Model F4-3600C18D-64GTZR,149.99 $
G.SKILL Trident Z5 RGB Series Model F5-7600J3646G16GX2-TZ5RK,219.99 $
CORSAIR Vengeance LPX Model CMK64GX4M2E3200C16,129.99 $
Mushkin Enhanced Essentials Model MES4U320NF32GX2,109.99 $
OLOy Model ND4U1632161BHJDA,67.99 $
OLOy Model ND4U1632161DJ0DA,57.99 $
OLOy Model MD4U323216DJDA,119.99 $
OLOy Model ND4U1632161BHVDA,67.99 $
CORSAIR Vengeance LPX Model CMK16GX4M2B3200C16R,39.99 $
CORSAIR Vengeance RGB RT Model CMN32GX4M2Z3200C16,99.99 $
OLOy Blade RGB (OLOY) Model ND5U1664320IRKDE,127.99 $
OLOy Blade RGB Model ND5U1652361BRKDE,92.99 $
G.SKILL Trident Z5 Neo RGB Series,224.99 $
OLOy Blade RGB Model ND4U1636181DRKDE,79.99 $
G.SKILL Ripjaws S5 Series Model F5-5600J3636C16GX2-RS5W,94.99 $
OLOy Blade RGB (OLOY) Model ND5U3256360BRSDE,182.99 $
OLOy Blade RGB (OLOY) Model ND5U3264320IRKDE,239.99 $
OLOy Blade RGB Model MD5U0856360BRKDE,85.99 $
G.SKILL Ripjaws S5 Series Model F5-5600J3636C16GX2-RS5K,94.99 $
Mushkin Enhanced Redline Stiletto Model MRF4U360EKKT8GX2,55.99 $
